ALDH1A1	ALDH1A1	NA
FTL	SMAD9	0.8596085141
RB1	RB1	NA
TMPO	RB1	0.9653162196
SP1	RB1	1
CEBPB	RB1	1
PNPLA2	SMAD9	0.6780702236
ELF1	RB1	0.9996580371
ABL1	RB1	1.77300881367827E-014
MYC	RB1	1
TGM2	RB1	0.0089964051
QARS	RARS	0.9533686306
SUV39H1	RB1	0.9999999999
MORF4L2	RB1	0.9996580371
POLA1	RB1	0.9544039082
TAF1	RB1	1
AR	RB1	1
AHR	RB1	0.9999999994
E2F2	RB1	0.9999128126
E2F3	RB1	0.9999650488
CASP3	RB1	1
E2F4	RB1	0.8482348552
ATN1	BAT2L1	0.9934879634
UBTF	RB1	0.9999996902
RBBP5	RB1	0.7585546373
PRDM2	RB1	0.9672875826
HDAC1	RB1	1
BAG1	RB1	0.9949039471
SMARCB1	RB1	0.774806917
SP3	RB1	0.9999931041
RING1	RB1	0.9999964286
PA2G4	RB1	0.8136859825
SNAPC3	RB1	0.8977099342
ARG1	ARG2	0.7678677911
CTBP1	RB1	1
MNAT1	RB1	0.967253138
MDM4	RB1	0.3108821866
RBBP9	RB1	0.9895391546
RBBP7	RB1	0.9999999839
RBBP4	RB1	1
E4F1	RB1	0.288986543
SNW1	RB1	0.9999967373
CBX4	RB1	0.999295654
SMARCA4	RB1	0.9999999999
GRIN2B	ACTN2	1
ATN1	EFCAB4B	0.9337101915
PRKRA	RB1	0.1207986221
USP4	RB1	0.1455487212
CCNT2	RB1	0.8097185179
CCNA1	RB1	0.9999999861
RBBP8	RB1	0.9909430473
TRIP11	RB1	0.8977099342
ENC1	RB1	0.4626152691
PIK3R3	RB1	0.2642066002
TRAP1	RB1	0.0311397744
FRK	RB1	0.6801626016
TRAF1	TNFRSF17	0.9999622371
SPIB	RB1	0.9999128126
NDC80	RB1	0.0006587118
EID1	RB1	0.9852777467
HSPA8	RB1	5.75613199867292E-005
RNF40	RB1	0.9610757659
KDM5A	RB1	0.9841710008
THOC1	RB1	0.6801626016
MORF4L1	RB1	0.9966550018
ARID3B	RB1	0.6801626016
CREG1	RB1	0.9126718041
TRAF2	TNFRSF17	0.9999622371
PELP1	RB1	0.9461588579
AATF	RB1	0.8968356466
HBP1	RB1	0.9653162196
LIN9	RB1	0.8977099342
RBAK	RB1	0.8977099342
MTMR11	SMAD9	0.8785365854
SMG1	SMAD9	0.4039101684
HDAC1	ARID4A	0.9989304528
HDAC2	ARID4A	0.9989304528
EID1	ARID4A	0.9842239457
TRAF3	TNFRSF17	0.9999622371
HDAC3	ARID4A	0.9989304528
SUV39H1	RBL2	0.9999999999
TAF1	RBL2	1
E2F4	RBL2	0.8482348552
UBTF	RBL2	0.9999996902
E2F5	RBL2	0.8468212146
HDAC1	RBL2	1
RBBP9	RBL2	0.9895391546
SNW1	RBL2	0.9999967373
RBBP8	RBL2	0.9909430473
TNFSF13B	TNFRSF17	0.9996726411
BRF2	RBL2	0.9672875826
CREG1	RBL2	0.9126718041
HBP1	RBL2	0.9653162196
SP1	RXRA	1
TBP	RXRA	1
NR1H2	RXRA	0.9999650859
SRF	RXRA	1
NCOR2	RXRA	1
TDG	RXRA	0.9999996826
TNFSF13	TNFRSF17	0.9999440997
PPARG	RXRA	1
PSMC5	RXRA	0.9999287471
VDR	RXRA	1
NR4A2	RXRA	0.8468212146
NCOA3	RXRA	1
NCOA4	RXRA	0.9945649469
NRIP1	RXRA	0.9999999994
MAPK7	RXRA	0.9729994456
NCOA1	RXRA	1
BRD8	RXRA	0.9989304528
ATN1	CHRD	0.9996367575
TADA3	RXRA	0.9999725341
NR1I2	RXRA	0.9996283771
TRIM24	RXRA	1
NR1I3	RXRA	0.9998906716
MED1	RXRA	1
ZNHIT3	RXRA	0.9672875826
TRIP4	RXRA	0.9999987726
JMJD1C	RXRA	0.9672875826
TRIP10	RXRA	0.5192438814
ATN1	CBFA2T2	0.9999999857
COPS2	RXRA	0.3996007789
PPARGC1A	RXRA	1
NR0B2	RXRA	1
GADD45G	RXRA	0.9999959466
NCOA6	RXRA	1
MED24	RXRA	0.9966550018
UBE3A	SMAD9	0.9999997898
THRA	RXRA	1
NFKBIB	RXRA	0.9999999998
THRB	RXRA	1
ADRB1	ARRB1	0.0246173724
PRMT2	RXRA	0.9972072142
NCOA2	RXRA	1
NPAS2	RXRA	0.9998906716
EDF1	RXRA	0.9999964079
ITGB3BP	RXRA	0.9856159017
NSD1	RXRA	0.9989304528
DNTTIP2	RXRA	0.9989304528
NRBF2	RXRA	0.9966550018
RNF8	RXRA	0.0457875072
ZBTB16	RXRA	0.0033276034
ADRBK1	ARRB1	0.8170133981
MECR	RXRA	0.9966550018
TAF11	RXRA	0.9999999962
PSMC3IP	RXRA	0.9852777467
NR1H2	RXRB	0.9999650859
NR4A2	RXRB	0.8468212146
NCOA3	RXRB	1
NCOA1	RXRB	1
NR1I2	RXRB	0.9996283771
KCNA4	ACTN2	0.9999998409
CLTC	ARRB1	0.10038174
NR2E3	RXRB	0.9999987726
NR0B2	RXRB	1
AKAP13	RXRB	0.7280316943
RARB	RXRB	0.999295654
THRA	RXRB	1
TAF11	RXRB	0.9999999962
CREBBP	RXRG	0.9999999998
SRF	RXRG	0.9999999998
PPARG	RXRG	0.9999999998
THRB	RXRG	0.9999999998
CSK	ARRB1	0.818486703
DIAPH3	SMAD9	0.8785365854
CYP11A1	SMAD9	0.9999736139
NOTCH1	RBP3	0.6801626016
CLPB	SMAD9	0.9852495309
ANK1	RHAG	0.9944478555
CD47	RHAG	0.9229495468
PRSS1	TST	0.9852494844
MT-ND1	TST	0.9451798979
ZNF83	SMAD9	0.9852495309
GRK1	RHO	0.9218830379
CXCR2	ARRB1	0.392557322
SAG	RHO	0.9882028061
GNGT1	RHO	0.1701216625
ARR3	RHO	0.1629345661
GRK6	RHO	0.9993511991
GRK5	RHO	0.9993520826
PPP2CA	RHO	0.1629693699
GRK1	GRK1	NA
CAV1	GRK1	0.9224807288
TAL2	LMO2	0.5956998792
TAL1	LMO2	0.0767047184
FGR	ARRB1	0.818486691
RLIM	LMO2	0.0766982216
GATA1	LMO2	0.0767049056
ISL1	LMO2	0.0767040522
RBBP8	LMO2	0.5549190853
KDM5A	LMO2	0.747393819
LDB1	LMO2	0.2441085859
ELF2	LMO2	0.6780668963
RRM1	RRM2	0.994413142
TP53	RRM2	0.9960723539
CDH1	RRM2	0.4875898274
OPRD1	ARRB1	0.8214185354
RRM2B	RRM1	0.9978933345
ABCE1	RNASEL	0.8058831259
MGAT1	SMAD9	0.8785365854
STAU1	RPS6	0.378338482
PAK2	RPS6	0.219231286
RPS6KB1	RPS6	0.3783398735
AP2A1	SMAD9	0.9999999925
UPF2	RPS25	0.9617176368
ASB2	SMAD9	0.7718236399
PTH1R	ARRB1	0.2866221725
MAN2B1	SMAD9	0.8785365854
UNC45A	SMAD9	0.8785365854
SMAD9	LNPEP	0.9990185158
SMAD9	DST	0.9998063671
SMAD9	RRBP1	0.9593304724
SMAD9	HUWE1	0.9373477113
SNIP1	ZCCHC7	0.6800909161
UBQLN2	RPN1	0.9999954515
RAD23A	RPN1	0.9999931782
SNIP1	TOPORS	0.5016434506
PTHLH	ARRB1	0.375244463
SNIP1	SP100	0.9934936715
DCUN1D1	LAPTM5	0.9987030166
LAPTM5	HEY1	0.7730898221
LAPTM5	KRT7	0.7705345238
LAPTM5	ANKRD13A	0.8695121951
LAPTM5	EPN3	0.9829760077
CAMK2D	RPS18	0.1483320923
LAPTM5	UBA52	0.7810123418
LAPTM5	USP13	0.6678273736
IPO11	RPL12	0.742372463
MAPK1	ARRB1	0.9918184062
LAPTM5	TNFAIP3	1
LAPTM5	WWP1	0.5052830384
PDCD4	RPS13	0.3700343315
LAPTM5	RNF168	0.9977793789
LBP	RPS21	0.9274358266
VDAC2	RPS3A	0.595693989
LAPTM5	EPS15	0.9999993287
LAPTM5	EPN1	0.98039199
LAPTM5	HUWE1	0.7190201683
PBX2	RPL4	0.314645485
ARF6	ARRB1	0.0046255502
LAPTM5	EPN2	0.9482638675
EXOSC10	RPE	0.9870731707
LAPTM5	NEDD4L	0.9999997217
STAU1	RPLP0	0.2140011829
LAPTM5	TOM1L2	0.9829760077
SUMO2	SAE1	0.9005328667
SUMO2	UBA2	0.9841710008
RPLP2	RPLP1	0.7560483807
PDCD4	RPLP1	0.4970049592
RPLP2	RPLP2	NA
SLC9A5	ARRB1	0.7523484514
SUMO2	CUL3	0.5115077236
SUMO2	CCNE2	0.9980295956
SUMO2	BLM	0.10038174
SUMO2	TP53BP2	0.0966915645
UPF2	RPS15	0.9870731707
RIT1	RLF	0.5957012679
RIT2	RLF	0.1461901079
CREBBP	DDX5	0.9935011868
SUMO2	KALRN	0.3783398863
SUMO2	JUN	1
ACTN3	ACTN2	0.9897649452
AP2B1	ARRB1	0.1170750045
SMAD3	DDX5	0.1856740113
SUMO3	RANGAP1	0.9252071471
AKAP8	DDX5	0.9928014181
SUMO3	TDG	0.9999991334
DDX17	DDX5	0.9088994331
DDX5	CALM1	0.9935011868
ARSF	SNRNP70	0.8785365854
HTATSF1	SNRNP70	0.6997164817
HNRNPA2B1	SNRNP70	0.9943908766
SFRS1	SNRNP70	6.51114664870964E-005
DVL1	ARRB1	0.1170750045
SFRS2	SNRNP70	0.3489721802
SIP1	SNRNP70	0.1258816146
SNRPC	SNRNP70	0.7718236399
SFRS2IP	SNRNP70	0.3548405516
CTDP1	SNRNP70	0.1432936257
NUDT21	SNRNP70	0.2113541606
ZRANB2	SNRNP70	0.3548405516
DDX17	SNRNP70	0.1856740113
SRPK1	SNRNP70	0.0853412169
SUMO3	CUL3	0.5115074427
CCR5	ARRB1	0.818486703
RYR2	RYR1	1
FKBP1A	RYR1	0.9295033734
PRKACA	RYR1	1
CAMK2G	RYR1	0.9996926318
TRDN	RYR1	0.9998039714
HOMER2	RYR1	0.9999737324
HOMER3	RYR1	0.9999852193
PRKG1	RYR1	0.0480488601
HOMER1	RYR1	1
RYR3	RYR2	0.9274358901
RALGDS	ARRB1	0.0416425702
SRI	RYR2	0.9495472752
FKBP1B	RYR2	0.9630352304
PRKACA	RYR2	1
AKAP6	RYR2	0.9960045147
HOMER1	RYR2	1
FKBP1A	RYR3	0.7716878359
AHCY	AHCY	NA
SUMO3	CCNE2	0.9980290475
SUMO3	BLM	0.5172877654
NSF	ARRB1	0.9918183794
SUMO3	TP53BP2	0.5171872057
SUMO3	KALRN	0.3783396785
ADCYAP1	SCTR	0.7029239252
SCT	SCTR	0.4357747679
CPAMD8	SCTR	0.5679852343
CYTH1	CYTH1	NA
ITGB2	CYTH1	0.9922438762
TRIM23	CYTH1	0.7285675485
ARFRP1	CYTH1	0.5983190366
CYTIP	CYTH1	0.9811739019
MAPK3	ARRB1	0.9918184062
SUMO3	JUN	0.9999994508
SPARC	SPARC	NA
THBS1	SPARC	1
TGFB1	SPARC	1
TGM2	SPARC	1
VEGFA	SPARC	0.0971467519
CTSK	SPARC	0.9990185158
NEDD8	NAE1	0.6728678379
NEDD8	CUL2	0.9999866502
NEDD8	CUL4B	0.8805156718
DVL2	ARRB1	0.0173092062
NEDD8	TP53	1
NEDD8	PARP1	1
NEDD8	PTK2	0.0081740919
SPARC	FN1	1
CDKN2A	TBRG1	0.6801626016
CDKN2A	GSPT1	0.0457875072
CAMK2G	SPR	0.4741595842
HTR1D	HTR1B	0.8683436721
CDKN2A	KIAA1984	0.6801626016
CDKN2A	ANKRD12	0.6801626016
CYTH2	ARRB1	0.8184867012
S1PR1	HTR1D	0.9305884462
CDKN2A	ZNF227	0.6801626016
CDKN2A	PEX19	0.0049296781
GNAQ	HTR2A	0.1956590818
DLG4	HTR2A	0.9999035501
CDKN2A	ZFP91	0.6801626016
STX1A	SLC6A4	0.7585546373
SEMG2	SEMG1	0.4838673921
TGM1	SEMG1	0.9784873657
TGM1	SEMG2	0.2285092791
TRHR	ARRB1	0.8903652362
SERPINA5	SEMG2	0.9943908766
CDKN2A	TPI1	0.9126718041
KPNA1	SRP19	0.1273967244
TNPO1	SRP19	0.9851928641
IPO7	SRP19	0.9851735854
IPO8	SRP19	0.4930221301
CDKN2A	AHNAK	0.9005328667
MET	SNAPIN	0.0408949554
SSR2	SRPR	0.8547096262
SHBG	SHBG	NA
CSNK2A1	ARRB2	1
MET	PCBD2	0.7765311653
EVPL	SPRR2A	0.6801554858
EVPL	SPRR3	0.9672774629
CCR8	CCL1	0.602920958
SNRPB	SNRPB	NA
COIL	SNRPB	0.9768015282
SMN1	SNRPB	0.1086660849
SKIV2L	SNRPB	0.6945818693
SNRPD3	SNRPB	0.9978302731
SNRPD1	SNRPB	0.9840114604
DLG1	ACTN2	1
CSNK2A2	ARRB2	1
STXBP2	SNRPB	0.9982329594
CLNS1A	SNRPB	0.9262655949
DHX9	SNRPB	0.9983720793
SMNDC1	SNRPB	0.6421375457
TOP3B	SNRPB	0.2097691503
PRMT5	SNRPB	0.1241107542
CTDP1	SNRPB	0.998370918
DDX20	SNRPB	0.9983718341
GEMIN5	SNRPB	0.9958503481
GEMIN4	SNRPB	0.9983532114
CLTC	ARRB2	0.0576172322
SMN2	SNRPB	0.998370918
STXBP3	SNRPB	0.9973968201
LSM11	SNRPB	0.314133387
WDR77	SNRPB	0.9349334975
WBP4	SNRPB	0.9312525551
MET	VAV1	1
CCL3	CCL3	NA
CCL4	CCL3	0.9944306661
CEBPB	CCL3	0.0311397744
TGFB1	CCL3	0.3117310603
NTSR1	ARRB2	0.4626152691
CCR1	CCL3	0.9944582875
CCR3	CCL3	0.9944582875
CCR5	CCL3	0.9944582875
CCR4	CCL3	0.9917545456
CCBP2	CCL3	0.9944582874
CCR1	CCL4	0.9999722246
CCR5	CCL4	0.9999722246
CCR8	CCL4	0.999847866
CCBP2	CCL4	0.9999722245
MDM2	ARRB2	1
PAPOLA	SNRPA	0.9242644452
MET	SNX2	0.99984424
CAV3	SLC8A1	0.5978083223
TRPC3	SLC8A1	0.5978374186
SLC9A3	SLC9A3	NA
LRP2	SLC9A3	0.8093628412
PDZK1	SLC9A3	0.9746645469
SLC9A3R1	SLC9A3	0.8093628412
SLC9A3R2	SLC9A3	0.9746645469
-	SLC9A3	0.7705345238
OPRD1	ARRB2	0.8281944862
-	SLC9A3	0.7705345238
PDZK1	SLC17A1	0.9630352304
MET	DAPK3	0.5132272504
MET	SMC1A	0.0224919761
CFL1	ATP1A1	0.2469888106
MAPK3	ATP1A1	0.0211776802
FXYD2	ATP1A1	0.6478560754
FXYD1	ATP1A1	0.9950245779
MET	DNAJA3	0.5049578162
TPT1	ATP1A1	0.0856303473
OXTR	ARRB2	0.2140019772
EPB41L3	YWHAQ	0.9999998496
FXYD1	ATP1B1	0.7977122583
NGB	ATP1B2	0.6701490755
TPT1	ATP1A2	0.8032293103
EPB41L3	CLNS1A	0.9877625647
EPB41	MACROD1	0.7765311526
EPB41	YWHAB	0.9950696849
SSTR5	SSTR1	0.9998039714
CORT	SSTR1	0.9998039713
SST	SSTR1	0.9997949516
PTAFR	ARRB2	0.9005328667
CORT	SSTR2	0.7398177543
EPB41	YWHAQ	0.9950696849
EPB41	SEC14L1	0.7765311526
SST	SSTR2	0.0317417428
TP53	SSTR3	0.7283594469
CORT	SSTR3	0.9922050579
SST	SSTR3	0.9921961068
CORT	SSTR4	0.9986345705
SST	SSTR4	0.9986255613
EPB41	GDI1	0.0618815896
AVPR2	ARRB2	0.4878150014
SSTR5	SSTR5	NA
CORT	SSTR5	0.9999999999
ADCY10	SSTR5	0.9274358901
SST	SSTR5	0.9999909784
TRIP6	SON	0.8699794445
YWHAG	SON	0.9503258829
ANXA7	SRI	0.4483061439
PSEN2	SRI	0.0211776802
ANXA11	SRI	0.3938444934
GCA	SRI	0.8611829648
AP1B1	ARRB2	0.0735090185
HRAS	SOS1	1
ERBB3	SOS1	1
SH3KBP1	SOS1	1
NCK1	SOS1	1
CRKL	SOS1	1
ITSN1	SOS1	0.999961757
ABI1	SOS1	1
CD2AP	SOS1	1
GRAP	SOS1	0.9999972886
NCK2	SOS1	1
ARF6	ARRB2	0.0046637067
ABI3	SOS1	0.7232016368
PACSIN1	SOS1	0.9999513298
PACSIN3	SOS1	0.9999999966
FRS2	SOS1	1
SNX9	SOS1	0.9994717917
RIT2	SOS1	0.6746719032
SNX18	SOS1	0.9500663828
SOS1	BIN1	1
EPB41	APP	1.67759148407452E-005
TFF2	TFF2	NA
ADAM12	ACTN2	0.9999513298
RALGDS	ARRB2	0.0419860833
EPB41	C2CD2L	0.7765311526
SMAD4	SPTBN1	0.9999446473
EPB41	CRYAB	0.0618815896
SMAD3	SPTBN1	0.9999446473
CPNE1	SPTBN1	0.999944644
CPNE4	SPTBN1	0.9999446468
EPB41L1	YWHAQ	0.9999916924
ACTR1A	SPTBN1	0.5233098933
NF2	SPTBN1	0.8329933868
EPB41L1	YWHAZ	0.1867202977
MAP3K5	ARRB2	0.0416449308
SPTB	SPTAN1	0.8802239833
ANK1	SPTAN1	0.9950018426
SRC	SPTAN1	1
FANCC	SPTAN1	0.1457292586
SYN1	SPTAN1	0.9997330223
SLC9A2	SPTAN1	0.9992961172
PLEC1	SPTAN1	0.9534181719
EPB41L1	YWHAB	0.9999916924
GRIN2D	SPTAN1	1
ABI1	SPTAN1	1
CYTH2	ARRB2	0.0020947858
GRIA2	SPTAN1	0.9993520831
SHANK1	SPTAN1	0.9999999422
-	PSMA5	0.4970049604
-	HSP90AA1	3.37073662493241E-006
FANCA	SPTAN1	0.0289678433
ACP1	SPTAN1	0.9999999618
EPB41L2	SPTAN1	0.8802239833
-	PPA1	0.7705345238
GRIN1	SPTAN1	1
TANC1	SPTAN1	0.9999870264
MAPK10	ARRB2	0.0248204432
-	PRDX1	0.9788428711
SPTB	SPTA1	0.8797590416
FANCC	SPTA1	0.0143957891
SLC9A2	SPTA1	0.9987682807
PLEC1	SPTA1	0.9529145685
ABI1	SPTA1	0.9994717917
SPTBN2	SPTA1	0.808935329
AP1G1	SPTB	0.4900677377
CSRP3	SPTB	0.1380059198
KLC1	ODF1	0.6728678379
NTS	ARRB2	0.1629693699
ODF2	ODF1	0.7550678004
TRIP6	ODF1	0.9987030167
SPAG4	ODF1	0.8683844523
SPAG5	ODF1	0.8688510956
SRPK1	PRM1	0.991996277
ACR	ZP2	0.9834850081
ZPBP	ZP2	0.8655777586
-	MPHOSPH8	0.7560483826
ACR	ZP3	0.6768558406
ENGASE	ZP3	0.6775328838
TRH	ARRB2	0.9672875826
-	EEF1A1	NA
-	TSFM	0.8695121951
CEP55	MAPK1	0.8971968566
CEP55	PLK1	0.4182283403
CEP55	PCNT	0.1462156064
TTN	ANK1	0.1255972757
L1CAM	ANK1	0.1255293721
TIAM1	ANK1	0.9949945153
OBSCN	ANK1	0.1251774171
NBPF3	ANK1	0.618633723
DTNA	GFI1B	0.9997591799
NFASC	ANK1	0.9443736065
CEP55	AKAP9	0.8354698539
CEP55	CDK1	0.8971968566
SDCBP	SOX4	0.6029959478
ITGB3	VTN	0.1355928257
OVGP1	STATH	0.9394669619
PROL1	STATH	0.7377561553
GRIA4	ACTN1	0.783341469
EVPL	CSTA	0.1455471985
GRIA4	IQGAP1	0.9999990063
CYB5A	CYP1A1	0.9238209586
FLT3LG	KITLG	0.8725067473
PIK3CD	KITLG	0.9999931382
CLEC11A	KITLG	0.7765263486
POLL	CDK2	0.8097185179
RET	PTK2	1
RET	MAPK1	0.0028143933
RET	MAPK8	0.0028143933
RET	MAPK14	0.0028143933
ACOX1	SCP2	0.6014930245
CAV1	SCP2	0.9975075731
NAA10	NAT1	0.6292916458
EHHADH	SCP2	0.7745957182
ACAA2	SCP2	0.7745957182
RET	MAPK3	0.0028143933
CHEK1	UBB	0.4000629339
SP1	SREBF1	0.9999987726
YY1	SREBF1	0.9999987722
ID3	SREBF1	0.9999978811
MAPK3	SREBF1	0.9999987726
SUMO1	SREBF1	0.9999987726
NR0B1	SREBF1	0.9999115853
UBE2I	SREBF1	0.9999987726
TWIST2	SREBF1	0.8977088323
CHEK1	CUL1	1
NFYA	NR5A1	0.9722133238
SP1	NR5A1	0.9999999999
PITX1	NR5A1	0.9620597461
NRIP1	NR5A1	0.9999999994
NCOA1	NR5A1	0.9999999999
TBX19	NR5A1	0.6801626016
DLG4	ACTN2	1
AXL	GRB2	1
SOX9	NR5A1	0.9845550882
SOX2	NR5A1	0.7585546373
GTF2B	NR5A1	0.9999999999
GATA4	NR5A1	0.9999999627
EDF1	NR5A1	0.9999964078
TRERF1	NR5A1	0.9672875826
ZNF653	NR5A1	0.6801626016
PIAS1	NR5A1	0.9999999999
SOX8	NR5A1	0.9999996351
PNRC2	NR5A1	0.9999964078
ADRB2	GRB2	1
TIMP3	MMP3	0.9989256652
TIMP1	MMP3	0.9989256652
BCAN	MMP3	0.9999999993
MMP3	CCL13	0.7473974864
MMP3	CCL8	0.3117310603
SPOCK1	MMP3	0.9982090601
SPOCK3	MMP3	0.9982090601
BCAN	MMP10	0.9982090594
CHEK1	CUL4A	0.9990250929
HIST1H1E	CBX5	0.9672875826
CALD1	GRB2	0.5978374192
TGFBR1	CLU	0.9999999995
TGFBR2	CLU	0.9999999995
VLDLR	CLU	0.4039101682
C7	CLU	0.9982090596
LRP2	CLU	0.0174636764
LRP8	CLU	0.3117310601
MMP25	CLU	0.959330472
CLU	APP	0.0178649324
HIST1H1E	CBX1	0.9672875822
DRD3	GRB2	0.9995947093
SYT1	SYT1	NA
STX1A	SYT1	0.9999997976
SYT4	SYT1	0.9935981903
SNAP25	SYT1	0.4365394069
CACNA1A	SYT1	0.3783398097
S100A13	SYT1	0.6165762832
SYNCRIP	SYT1	0.9999128498
ZDHHC17	SYT1	0.6165762832
STON2	SYT1	0.1455486917
DRD4	GRB2	0.9972811912
SV2B	SYT1	0.6801624639
NRXN1	SYT1	0.0280645664
SYT1	TFAP2A	0.9977532738
HIST1H1E	CBX3	0.9672863954
SYT1	CALM1	0.9999997976
STAU1	RPL7A	0.2140011829
HIST3H3	CBX5	1
MED8	MED22	0.9996580371
MED30	MED22	0.9985888557
MED9	MED22	0.9996580371
DAG1	GRB2	0.9999999422
MED11	MED22	0.9669568062
HIST3H3	CBX1	0.9999999996
STX1A	VAMP1	0.9852777467
BCAP31	VAMP1	0.9850673302
STX1B1	VAMP1	0.946926565
SNAP23	VAMP1	0.219231286
VAPA	VAMP1	0.946926565
VAPB	VAMP1	0.9530469298
STX1A	VAMP2	0.9994835498
STX4	VAMP2	0.9994835056
EGF	GRB2	0.9999870264
SYP	VAMP2	0.1454735525
SNAP25	VAMP2	0.1138158803
STX1B1	VAMP2	0.960579418
STXBP2	VAMP2	0.9993442108
SNAP23	VAMP2	0.2716245633
VAMP8	VAMP2	0.9930852473
RABAC1	VAMP2	0.4848485283
STX11	VAMP2	0.8132657541
CPLX1	VAMP2	0.8972463117
VAPA	VAMP2	0.960579418
EGFR	GRB2	1
VAPB	VAMP2	0.9667880267
SYPL1	VAMP2	0.6798113315
TRPC3	VAMP2	0.2716245631
CCL5	SDC1	0.4181014011
CASK	SDC1	0.4181014012
SDCBP	SDC1	0.4181014012
IGFBP7	SDC1	0.5692642838
HIST3H3	CBX3	0.9999987726
TUBB	SDC3	0.3863586809
CASK	SDC3	0.9925102313
EPOR	GRB2	1
EPHB4	SDC3	0.9814372855
TUBA1A	SDC3	0.9922120959
STX1A	STX1A	NA
VAMP7	STX1A	0.9974740928
SYT4	STX1A	0.9935983915
SCNN1A	STX1A	0.9935983915
SNAP25	STX1A	0.0004126899
SCNN1B	STX1A	0.9845550882
SCNN1G	STX1A	0.9935983915
FASLG	GRB2	0.9999999841
DAPK1	STX1A	0.9691754668
SLC6A9	STX1A	0.3146455849
SEPT2	STX1A	0.8468212146
STXBP2	STX1A	0.999860589
APBA1	STX1A	0.0964121554
CFTR	STX1A	0.0001408291
SNAP23	STX1A	4.42722657419659E-005
SEPT5	STX1A	0.8750719496
SUMO1	FOS	1
VAMP8	STX1A	0.9935983915
COL4A1	ACHE	0.7473974864
DISC1	ACTN2	0.010527897
FGFR3	GRB2	1
NAPA	STX1A	0.9987729369
RAB27A	STX1A	0.9999999965
STX8	STX1A	0.7911405836
UNC13B	STX1A	0.9999650488
STXBP6	STX1A	0.7585546373
SYTL4	STX1A	0.2180832817
STXBP5	STX1A	0.7585546373
KCNB1	STX1A	0.0889301825
CPLX1	STX1A	0.8977099342
TXLNA	STX1A	0.7585546373
FGFR1	GRB2	1
TXLNB	STX1A	0.8977099342
SYT7	STX1A	0.9620597462
SNAP29	STX1A	0.9999988584
SNPH	STX1A	0.6801626016
SYT4	STX4	0.9935983476
NSF	STX4	0.9999999289
SUMO2	FOS	1
SEPT5	STX4	0.8750719109
FLT3	GRB2	0.9999996907
VAMP8	STX4	0.9935983476
VAMP3	STX4	0.9841709574
RAB11A	STX4	0.9825146284
STXBP6	STX4	0.7585546039
CXorf15	STX4	0.6801625716
STXBP5	STX4	0.7585546039
TXLNA	STX4	0.7585546039
STXBP3	STX4	0.9990230423
TXLNB	STX4	0.8977098946
SYT7	STX4	0.9620597037
FLT4	GRB2	0.9999972886
STXBP4	STX4	0.4626152486
TRAF2	CD27	0.9999622371
TRAF3	CD27	0.9999622371
TRAF5	CD27	0.9999622371
SIVA1	CD27	0.9818742371
CD70	CD27	0.8694793598
SUMO3	FOS	0.9999994508
CD3D	CD8B	0.9871219194
CD8A	CD8B	0.9888309727
ITGA1	TLN1	0.9689373308
CSF3R	GRB2	0.9999999995
ITGB2	TLN1	1
LRP2	TLN1	1
PTK2	TLN1	1
PTK2B	TLN1	1
PKD1	TLN1	0.999961757
PXN	TLN1	1
NRAP	TLN1	0.6886346143
CD247	CD28	1
CD4	CD28	1
ITK	CD28	0.9999999987
RASA1	GRB2	1
CD86	CD28	0.9975075731
GRAP2	CD28	1
DUSP14	CD28	0.7765311653
LRRC23	CD28	0.7765311653
BCR	YWHAB	0.9990253943
BCR	YWHAG	0.9990253943
BCR	YWHAH	0.9990253943
BCR	SFN	0.9990253943
BCR	YWHAE	0.9990253943
CD247	CD247	NA
BAT2	GRB2	0.0023060998
CD3D	CD247	0.9982590014
TRA@	CD247	0.99984424
TRB@	CD247	0.999999931
CD2	CD247	0.9999999995
TFRC	CD247	0.9831156401
JAK3	CD247	1
SHC1	CD247	1
SLA	CD247	0.9999552553
LY6E	CD247	0.9500663828
STAT5A	CD247	1
HTT	GRB2	0.0003064956
UNC119	CD247	0.0074747572
STAT5B	CD247	1
NCR1	CD247	0.9888434945
TRAT1	CD247	0.9999986149
SH2B3	CD247	0.9998756379
GAB2	CD247	0.9999999996
TIRAP	CD247	0.3642033928
SLA2	CD247	0.9888434945
DOCK2	CD247	0.9897649452
NCR3	CD247	0.9500663828
IL2RB	GRB2	1
NPM1	XPO1	0.0446464702
UBB	CDX2	0.2738579039
IKBKB	YWHAB	0.0240758165
TRA@	CD3D	0.9981035126
CD8A	CD3D	0.9982463604
TRB@	CD3D	0.9982589325
CD3G	CD3D	0.9977032009
CD3E	CD3D	0.9982589869
TRA@	TRD@	0.9973522013
TRB@	TRD@	0.9975075042
MS4A2	GRB2	0.9993520831
TRG@	TRD@	0.7745957182
CD3G	TRD@	0.9969521909
SECTM1	CD7	0.7569101277
PI4KA	CD7	0.8991719037
SNAP29	CD7	0.0989903751
VHL	PSMC3	0.3117310473
PSMC5	PSMC3	0.1629577579
PRKCD	YWHAB	0.0028823286
PSMC4	PSMC3	0.4308417526
FBXW7	JUN	0.9999985208
MYOZ2	ACTN2	0.7431892632
IRS1	GRB2	1
PSMC3IP	PSMC3	0.4308417526
LMO1	TAL2	0.8872749937
MAPK3	TAL2	0.9005328667
FBXW7	MYC	0.9999985208
TRA@	TRA@	NA
TRB@	TRA@	0.9998441709
